utdate	obsnum	subsysnr	subbands	file_id	instrume	obs_type
20190428	48	2	1000MHzx1024	a20190428_00048_02_0001.sdf	HARP	science
20190428	51	1	1000MHzx2048	a20190428_00051_01_0001.sdf	HARP	science
20190428	52	1	1000MHzx2048	a20190428_00052_01_0001.sdf	HARP	science
20190428	55	1	1000MHzx2048	a20190428_00055_01_0001.sdf	HARP	science
20190428	56	1	1000MHzx2048	a20190428_00056_01_0001.sdf	HARP	science
20190428	57	1	1000MHzx2048	a20190428_00057_01_0001.sdf	HARP	science
20190428	58	1	1000MHzx2048	a20190428_00058_01_0001.sdf	HARP	science
20190428	60	1	1000MHzx2048	a20190428_00060_01_0001.sdf	HARP	science
20190428	61	1	1000MHzx2048	a20190428_00061_01_0001.sdf	HARP	science
20190428	64	1	1000MHzx1024	a20190428_00064_01_0001.sdf	HARP	science
20190428	64	1	1000MHzx1024	a20190428_00064_02_0001.sdf	HARP	science
20190428	64	2	1000MHzx1024	a20190428_00064_01_0001.sdf	HARP	science
20190428	64	2	1000MHzx1024	a20190428_00064_02_0001.sdf	HARP	science
20190428	71	1	1000MHzx2048	a20190428_00071_01_0001.sdf	HARP	science
20190429	6	1	1000MHzx2048	a20190429_00006_01_0001.sdf	HARP	science
20190429	8	1	1000MHzx2048	a20190429_00008_01_0001.sdf	HARP	science
20190429	9	1	1000MHzx2048	a20190429_00009_01_0001.sdf	HARP	science
20190429	12	1	1000MHzx2048	a20190429_00012_01_0001.sdf	HARP	science
20190429	13	1	1000MHzx2048	a20190429_00013_01_0001.sdf	HARP	science
20190429	14	1	1000MHzx2048	a20190429_00014_01_0001.sdf	HARP	science
20190429	15	1	1000MHzx2048	a20190429_00015_01_0001.sdf	HARP	science
20190429	18	1	1000MHzx2048	a20190429_00018_01_0001.sdf	HARP	science
20190429	19	1	1000MHzx2048	a20190429_00019_01_0001.sdf	HARP	science
20190429	20	1	1000MHzx2048	a20190429_00020_01_0001.sdf	HARP	science
20190429	21	1	1000MHzx2048	a20190429_00021_01_0001.sdf	HARP	science
20190429	24	1	1000MHzx1024	a20190429_00024_01_0001.sdf	HARP	science
20190429	24	1	1000MHzx1024	a20190429_00024_02_0001.sdf	HARP	science
20190429	24	2	1000MHzx1024	a20190429_00024_01_0001.sdf	HARP	science
20190429	24	2	1000MHzx1024	a20190429_00024_02_0001.sdf	HARP	science
20190429	28	1	1000MHzx2048	a20190429_00028_01_0001.sdf	HARP	science
20190429	29	1	1000MHzx2048	a20190429_00029_01_0001.sdf	HARP	science
20190429	31	1	1000MHzx1024	a20190429_00031_01_0001.sdf	HARP	science
20190429	31	1	1000MHzx1024	a20190429_00031_02_0001.sdf	HARP	science
20190429	31	2	1000MHzx1024	a20190429_00031_01_0001.sdf	HARP	science
20190429	31	2	1000MHzx1024	a20190429_00031_02_0001.sdf	HARP	science
20190429	32	1	1000MHzx1024	a20190429_00032_01_0001.sdf	HARP	science
20190429	32	1	1000MHzx1024	a20190429_00032_02_0001.sdf	HARP	science
